0	ref_name	index	key	value	value(翻訳）	備考: 翻訳に改行が含まれているとロケール作成時にエラーになります。改行を入れないよう注意して下さい。（注：ゲーム内の改行は\nと書く）
1	BUILDING_TITLE	Panda Sanctuary	0	Panda Sanctuary	パンダ園	「パンダ保護区」→「パンダ園」。どう見ても動物園だったので
2	BUILDING_TITLE	Temple	0	Temple Complex	巨大寺院	
3	BUILDING_TITLE	Oriental Pearl Tower	0	Oriental Pearl Tower	東方明珠電視塔	
4	BUILDING_TITLE	ChirpX Launch Control Center	0	ChirpX Launch Site	ChirpX 発射場	1.9.2-f1 にて追加
5	BUILDING_TITLE	Prison	0	Prison	刑務所	
6	BUILDING_TITLE	Casino	0	Casino	カジノ	
7	BUILDING_TITLE	LuxuryHotel	0	Luxury Hotel	高級ホテル	
8	BUILDING_TITLE	Fancy Fountain	0	Fantastic Fountain	すてきな噴水	
9	BUILDING_TITLE	DrivingRange	0	Driving Range	ゴルフ練習場	
10	BUILDING_TITLE	Zoo	0	Zoo	動物園	
11	BUILDING_TITLE	Bus Station	0	Bus Station	バスステーション	
12	BUILDING_TITLE	Skatepark	0	Skatepark	スケートパーク	
13	BUILDING_TITLE	9x15_RidingStable	0	Riding Stable	乗馬クラブ	
14	BUILDING_TITLE	Beachvolley Court	0	Beach Volleyball Court	ビーチバレー用コート	
15	BUILDING_TITLE	2x8_FishingPier	0	Fishing Pier	釣り桟橋	
16	BUILDING_TITLE	Large Airport	0	International Airport	国際空港	
17	BUILDING_TITLE	Cargo Hub	0	Cargo Hub	貨物ハブ	
18	BUILDING_TITLE	Taxi Depot	0	Taxi Depot	タクシー車庫	
19	BUILDING_TITLE	Taxi Stand	0	Taxi Stand	タクシー待機所	
20	BUILDING_TITLE	MagickaPark	0	Magicka Theme Park	Magickaランド	
21	BUILDING_TITLE	2x2_Jet_ski_rental	0	Jet Ski Rental	ジェットスキーレンタル	
22	BUILDING_TITLE	3x2_Fishing tours	0	Fishing Tours	フィッシングツアー	
23	BUILDING_TITLE	4x4_Marina	0	Marina	マリーナ	
24	BUILDING_TITLE	2x4_RestaurantPier	0	Restaurant Pier	水上レストラン	
25	BUILDING_TITLE	Tram Depot	0	Tram Depot	路面電車車庫	
26	BUILDING_TITLE	tram_stop	0	Tram Stop	路面電車停留所	
27	BUILDING_TITLE	Sauna	0	Sauna	サウナ	
28	BUILDING_TITLE	Ski Lodge	0	Ski Lodge	スキーロッジ	
29	BUILDING_TITLE	Skating Rink	0	Skating Rink	スケートリンク	
30	BUILDING_TITLE	Ice Sculpture Park	0	Ice Sculpture Park	氷の彫刻公園	
31	BUILDING_TITLE	Ski Resort Building	0	Ski Resort	スキーリゾート	
32	BUILDING_TITLE	Ice Hockey Arena	0	Ice Hockey Arena	アイスホッケーアリーナ	
33	BUILDING_TITLE	Spa Hotel	0	Spa Hotel	スパホテル	
34	BUILDING_TITLE	Boiler Station	0	Boiler Station	ボイラーステーション	
35	BUILDING_TITLE	Snowdump	0	Snow Dump	雪寄せ場	
36	BUILDING_TITLE	Road Maintenance Depot	0	Road Maintenance Depot	道路管理事業所	
37	BUILDING_TITLE	Curling Park	0	Curling Park	カーリング公園	
38	BUILDING_TITLE	Sled_Hill	0	Sledding Hill	そり公園	
39	BUILDING_TITLE	Snowman_Park	0	Snowman Park	雪だるま公園	
40	BUILDING_TITLE	Snowcastle Restaurant	0	Snowcastle Restaurant	雪のお城レストラン	
41	BUILDING_TITLE	Sleigh Ride	0	Sleigh Ride	そり遊び場	
42	BUILDING_TITLE	Ice Hockey Rink	0	Ice Hockey Rink	アイスホッケーリンク	
43	BUILDING_TITLE	Snowmobile Track	0	Snowmobile Track	スノーモービル競技場	
44	BUILDING_TITLE	Ice_Fishing_Pond	0	Icefishing Pond	ワカサギ釣り場	
45	BUILDING_TITLE	Frozen Fountain	0	Frozen Fountain	凍った噴水	
46	BUILDING_TITLE	Public Firepit	0	Firepit Park	焚火公園	
47	BUILDING_TITLE	Igloo Hotel	0	Igloo Hotel	イグルーホテル	
48	BUILDING_TITLE	Santa_Claus_Workshop	0	Santa Claus' Workshop	サンタクロース工房	
49	BUILDING_TITLE	Geothermal_Plant	0	Geothermal Heating Plant	地熱暖房プラント	
50	BUILDING_TITLE	Cross-Country Skiing	0	Cross-Country Skiing Park	クロスカントリースキー場	
51	BUILDING_TITLE	2x2_winter_fishing_pier	0	Fishing Pier	釣り場	
52	BUILDING_TITLE	Christmas Tree	0	The Christmas Tree	クリスマスツリー	
53	BUILDING_TITLE	snowboard_arena	0	Snowboard Arena	スノーボードアリーナ	
54	BUILDING_TITLE	ParadoxPlazaWinter	0	Paradox Plaza	パラドックスプラザ	
55	BUILDING_TITLE	Medical Clinic Winter	0	Medical Clinic	診療所	
56	BUILDING_TITLE	Medical Helicopter Base	0	Medical Helicopter Depot	救急ヘリ発着所	
57	BUILDING_TITLE	Police Helicopter Base	0	Police Helicopter Depot	警察ヘリ発着所	
58	BUILDING_TITLE	Fire Helicopter Base	0	Fire Helicopter Depot	消防ヘリ発着所	
59	BUILDING_TITLE	Disaster Memorial	0	Disaster Memorial	災害記念公園	
60	BUILDING_TITLE	Meteorite Park	0	Meteorite Park	隕石公園	
61	BUILDING_TITLE	Helicopter Park	0	Helicopter Park	ヘリコプター公園	
62	BUILDING_TITLE	Pyramid Of Safety	0	Pyramid Of Safety	安全のピラミッド	
63	BUILDING_TITLE	Sphinx Of Scenarios	0	Sphinx Of Scenarios	シナリオのスフィンクス	
64	BUILDING_TITLE	Sparkly Unicorn Rainbow Park	0	Sparkly Unicorn Rainbow Park	スパークリーユニコーンレインボー公園	
65	BUILDING_TITLE	Doomsday Vault	0	Doomsday Vault	ドゥームズデイ・ヴォールト	
66	BUILDING_TITLE	Water Pumping Service Building	0	Pumping Service	排水サービス局	
67	BUILDING_TITLE	Disaster Response Unit	0	Disaster Response Unit	災害対策本部	
68	BUILDING_TITLE	Water Reservoir	0	Tank Reservoir	貯水タンク	
69	BUILDING_TITLE	Small Emergency Shelter	0	Small Emergency Shelter	小型シェルター	
70	BUILDING_TITLE	Large Emergency Shelter	0	Large Emergency Shelter	大型シェルター	
71	BUILDING_TITLE	Radio Mast Short	0	Short Radio Mast	小型電波塔	
72	BUILDING_TITLE	Radio Mast Tall	0	Tall Radio Mast	大型電波塔	
73	BUILDING_TITLE	Firewatch Tower	0	Firewatch Tower	火の見櫓	
74	BUILDING_TITLE	Fresh Water Outlet	0	Fresh Water Outlet	上水放水施設	
75	BUILDING_TITLE	Deep Space Radar	0	Deep Space Radar	近傍天体監視レーダー	
76	BUILDING_TITLE	Weather Radar	0	Weather Radar	気象レーダー	
77	BUILDING_TITLE	Tsunami Warning Buoy	0	Tsunami Warning Buoy	津波観測ブイ	
78	BUILDING_TITLE	Earthquake Early Warning Sensor	0	Earthquake Sensor	地震計	
79	BUILDING_TITLE	Large Trainstation	0	Multiplatform Train Station	大型鉄道駅	
80	BUILDING_TITLE	End of the line Trainstation	0	Multiplatform End Station	大型の終点駅	
81	BUILDING_TITLE	Ferry Bus Hub	0	Ferry and Bus Exchange Stop	フェリー・バスの乗換所	
82	BUILDING_TITLE	Ferry Depot	0	Ferry Depot	フェリーの格納庫	
83	BUILDING_TITLE	Ferry Harbor	0	Ferry Pier	フェリー停泊所	
84	BUILDING_TITLE	Ferry Pier	0	Ferry Stop	フェリー乗り場	
85	BUILDING_TITLE	Monorail Station Standalone	0	Monorail Station	モノレールの駅	
86	BUILDING_TITLE	Monorail Station Avenue	0	Monorail Station with Road	大通り上のモノレール駅	
87	BUILDING_TITLE	Cable Car Stop	0	Cable Car Stop	ロープウェイの駅	
88	BUILDING_TITLE	Cable Car Cables	0	Cables for Cable Car	ロープウェイの索条	
89	BUILDING_TITLE	Blimp Depot	0	Blimp Depot	飛行船の格納庫	
90	BUILDING_TITLE	Blimp Stop	0	Blimp Stop	飛行船の乗り場	
91	BUILDING_TITLE	Boat Museum	0	Boat Museum	船の博物館	
92	BUILDING_TITLE	Traffic Park	0	Traffic Park	交通公園	
93	BUILDING_TITLE	Steam Train	0	Locomotive Halls	機関車の殿堂	
94	BUILDING_TITLE	Monorail Train Metro Hub	0	Metro-Monorail-Train Hub	地下鉄・モノレール・鉄道の乗換駅	
95	BUILDING_TITLE	Monorail Bus Hub	0	Monorail-Bus Hub	モノレール・バスの乗換駅	
96	BUILDING_TITLE	Cable Car Station End	0	End-of-Line Cable Car Stop	ロープウェイの終点駅	
97	BUILDING_TITLE	Ultimate Recycling Plant	0	Ultimate Recycling Plant	究極のリサイクル工場	1.9.0-f5で追加
98	BUILDING_TITLE	Central Park	0	Central Park	セントラル・パーク	1.9.0-f5で追加
99	BUILDING_TITLE	Floating Gardens	0	Floating Gardens	水上庭園	1.9.0-f5で追加
100	BUILDING_TITLE	Ziggurat Garden	0	Ziggurat Garden	ジッグラト・ガーデン	1.9.0-f5で追加
101	BUILDING_TITLE	Lungs of the City	0	Lungs of the City	ラングス・オブ・ザ・シティ	1.9.0-f5で追加
102	BUILDING_TITLE	Climate Research Station	0	Climate Research Station	気象研究所	1.9.0-f5で追加
103	BUILDING_TITLE	Bird and Bee Haven	0	Bird and Bee Haven	鳥とハチの楽園	1.9.0-f5で追加
104	BUILDING_TITLE	Geothermal Power Plant	0	Geothermal Power Plant	地熱発電所	1.9.0-f5で追加
