name	key	ref_name	ref_key	index	value	translation
###HEADER		###HEADER		0	<<00000002FEFE>>	
###HEADER		###HEADER		1	ColossalFramework.Globalization.Locale, ColossalManaged, Version=0.3.0.0, Culture=neutral, PublicKeyToken=null	
###HEADER		###HEADER		2	ENGLISH	
###HEADER		###HEADER		3	(ENGLISH)	
###HEADER		###HEADER		4	<<00000000>>	
###HEADER		###HEADER		5	[[0xA6]]	
AREA_DESC		AREA_DESC		0	[[0x9]]	
OFFICE_NAME	Level1	OFFICE_NAME	Level1	0	[[0x7]]	
1	Level2	OFFICE_NAME	Level2	0	[[0x7]]	
1	Level3	OFFICE_NAME	Level3	0	[[0x7]]	
INDUSTRIAL_NAME	2	INDUSTRIAL_NAME	Level1	0	[[0x6]]	
5	3	INDUSTRIAL_NAME	Level2	0	[[0x6]]	
5	4	INDUSTRIAL_NAME	Level3	0	[[0x6]]	
5	IndustrialForestry	INDUSTRIAL_NAME	IndustrialForestry	0	[[0x6]]	
5	IndustrialFarming	INDUSTRIAL_NAME	IndustrialFarming	0	[[0x7]]	
5	IndustrialOil	INDUSTRIAL_NAME	IndustrialOil	0	[[0x4]]	
5	IndustrialOre	INDUSTRIAL_NAME	IndustrialOre	0	[[0x5]]	
EXTRACTOR_NAME	6	EXTRACTOR_NAME	IndustrialForestry	0	[[0x2]]	
10	7	EXTRACTOR_NAME	IndustrialFarming	0	[[0x5]]	
10	8	EXTRACTOR_NAME	IndustrialOil	0	[[0x2]]	
10	9	EXTRACTOR_NAME	IndustrialOre	0	[[0x2]]	
BUILDING_NAME	Farming 4x4 Farm	BUILDING_NAME	Farming 4x4 Farm	0	[[0x2]]	
11	Farming 4x4 Farm 2	BUILDING_NAME	Farming 4x4 Farm 2	0	[[0x2]]	
11	Farming 4x4 Farm 3	BUILDING_NAME	Farming 4x4 Farm 3	0	[[0x2]]	
11	L3 3x2 Shop01	BUILDING_NAME	L3 3x2 Shop01	0	[[0x1]]	
11	L3 2x2 Shop02	BUILDING_NAME	L3 2x2 Shop02	0	[[0x1]]	
11	L3 3x3 Shop06	BUILDING_NAME	L3 3x3 Shop06	0	[[0x1]]	
11	L3 1x1 Shop	BUILDING_NAME	L3 1x1 Shop	0	[[0x1]]	
11	L2 2x3 Shop03	BUILDING_NAME	L2 2x3 Shop03	0	[[0x1]]	
11	L1 1x1 Shop	BUILDING_NAME	L1 1x1 Shop	0	[[0x1]]	
11	H1 4x3 Shop02	BUILDING_NAME	H1 4x3 Shop02	0	[[0x1]]	
11	H1 4x3 Shop01	BUILDING_NAME	H1 4x3 Shop01	0	[[0x1]]	
11	H2 1x1 Shop	BUILDING_NAME	H2 1x1 Shop	0	[[0x1]]	
11	L1 3x2 Shop01	BUILDING_NAME	L1 3x2 Shop01	0	[[0x1]]	
11	L1 4x3 Shop02a	BUILDING_NAME	L1 4x3 Shop02a	0	[[0x1]]	
COMMERCIAL_LOW_NAME	2	COMMERCIAL_LOW_NAME	Level1	0	[[0x5]]	
26	3	COMMERCIAL_LOW_NAME	Level2	0	[[0x5]]	
26	4	COMMERCIAL_LOW_NAME	Level3	0	[[0x5]]	
COMMERCIAL_HIGH_NAME	2	COMMERCIAL_HIGH_NAME	Level1	0	[[0x5]]	
27	3	COMMERCIAL_HIGH_NAME	Level2	0	[[0x5]]	
27	4	COMMERCIAL_HIGH_NAME	Level3	0	[[0x5]]	
RESIDENCE_LOW_PATTERN	2	RESIDENCE_LOW_PATTERN	Level1	0	[[0x1]]	
28	3	RESIDENCE_LOW_PATTERN	Level2	0	[[0x1]]	
28	4	RESIDENCE_LOW_PATTERN	Level3	0	[[0x1]]	
28	Level4	RESIDENCE_LOW_PATTERN	Level4	0	[[0x1]]	
28	Level5	RESIDENCE_LOW_PATTERN	Level5	0	[[0x1]]	
RESIDENCE_HIGH_PATTERN	2	RESIDENCE_HIGH_PATTERN	Level1	0	[[0x1]]	
31	3	RESIDENCE_HIGH_PATTERN	Level2	0	[[0x1]]	
31	4	RESIDENCE_HIGH_PATTERN	Level3	0	[[0x1]]	
31	29	RESIDENCE_HIGH_PATTERN	Level4	0	[[0x1]]	
31	30	RESIDENCE_HIGH_PATTERN	Level5	0	[[0x1]]	
RESIDENCE_NAME		RESIDENCE_NAME		0	[[0x72]]	
DISTRICT_PATTERN		DISTRICT_PATTERN		0	[[0x5]]	
DISTRICT_NAME		DISTRICT_NAME		0	[[0x72]]	
CHIRP_DEFAULT		CHIRP_DEFAULT		0	[[0x1]]	
CHIRP_FIRST_WATER_PUMP		CHIRP_FIRST_WATER_PUMP		0	[[0x2]]	
CHIRP_FIRST_DRAIN_PIPE		CHIRP_FIRST_DRAIN_PIPE		0	[[0x2]]	
CHIRP_FIRST_POWER_PLANT		CHIRP_FIRST_POWER_PLANT		0	[[0x2]]	
CHIRP_FIRST_COAL_OR_OIL_PLANT		CHIRP_FIRST_COAL_OR_OIL_PLANT		0	[[0x2]]	
CHIRP_FIRST_NUCLEAR_PLANT		CHIRP_FIRST_NUCLEAR_PLANT		0	[[0x1]]	
CHIRP_FIRST_LANDFILL_SITE		CHIRP_FIRST_LANDFILL_SITE		0	[[0x1]]	
CHIRP_FIRST_COMBUSTION_PLANT		CHIRP_FIRST_COMBUSTION_PLANT		0	[[0x1]]	
CHIRP_FIRST_CLINIC		CHIRP_FIRST_CLINIC		0	[[0x1]]	
CHIRP_FIRST_FIRE_HOUSE		CHIRP_FIRST_FIRE_HOUSE		0	[[0x1]]	
CHIRP_FIRST_FIRE_STATION		CHIRP_FIRST_FIRE_STATION		0	[[0x1]]	
CHIRP_FIRST_POLICE_STATION		CHIRP_FIRST_POLICE_STATION		0	[[0x1]]	
CHIRP_FIRST_POLICE_HQ		CHIRP_FIRST_POLICE_HQ		0	[[0x1]]	
CHIRP_FIRST_TOWN_HALL		CHIRP_FIRST_TOWN_HALL		0	[[0x1]]	
CHIRP_FIRST_CITY_HALL		CHIRP_FIRST_CITY_HALL		0	[[0x1]]	
CHIRP_FIRST_ELEMENTARY_SCHOOL		CHIRP_FIRST_ELEMENTARY_SCHOOL		0	[[0x1]]	
CHIRP_FIRST_HIGH_SCHOOL		CHIRP_FIRST_HIGH_SCHOOL		0	[[0x1]]	
CHIRP_FIRST_UNIVERSITY		CHIRP_FIRST_UNIVERSITY		0	[[0x1]]	
CHIRP_FIRST_BUS_LINE		CHIRP_FIRST_BUS_LINE		0	[[0x1]]	
CHIRP_FIRST_TRAIN_LINE		CHIRP_FIRST_TRAIN_LINE		0	[[0x1]]	
CHIRP_FIRST_METRO_LINE		CHIRP_FIRST_METRO_LINE		0	[[0x1]]	
CHIRP_FIRST_HARBOR		CHIRP_FIRST_HARBOR		0	[[0x1]]	
CHIRP_FIRST_AIRPORT		CHIRP_FIRST_AIRPORT		0	[[0x1]]	
CHIRP_FIRST_MONUMENT		CHIRP_FIRST_MONUMENT		0	[[0x1]]	
CHIRP_FIRST_WONDER		CHIRP_FIRST_WONDER		0	[[0x1]]	
CHIRP_FIRST_CEMETERY		CHIRP_FIRST_CEMETERY		0	[[0x1]]	
CHIRP_FIRST_CREMATORY		CHIRP_FIRST_CREMATORY		0	[[0x1]]	
CHIRP_FIRST_BUS_DEPOT		CHIRP_FIRST_BUS_DEPOT		0	[[0x1]]	
CHIRP_FIRST_CARGO_CENTER		CHIRP_FIRST_CARGO_CENTER		0	[[0x1]]	
CHIRP_FIRST_CARGO_HARBOR		CHIRP_FIRST_CARGO_HARBOR		0	[[0x1]]	
CHIRP_NEW_WIND_OR_SOLAR_PLANT		CHIRP_NEW_WIND_OR_SOLAR_PLANT		0	[[0x4]]	
CHIRP_NEW_HOSPITAL		CHIRP_NEW_HOSPITAL		0	[[0x2]]	
CHIRP_NEW_UNIVERSITY		CHIRP_NEW_UNIVERSITY		0	[[0x2]]	
CHIRP_NEW_POLICE_HQ		CHIRP_NEW_POLICE_HQ		0	[[0x2]]	
CHIRP_NEW_FIRE_STATION		CHIRP_NEW_FIRE_STATION		0	[[0x2]]	
CHIRP_NEW_PARK		CHIRP_NEW_PARK		0	[[0x2]]	
CHIRP_NEW_PLAZA		CHIRP_NEW_PLAZA		0	[[0x2]]	
CHIRP_NEW_MONUMENT		CHIRP_NEW_MONUMENT		0	[[0x4]]	
CHIRP_POLICY	Forest	CHIRP_POLICY	Forest	0	[[0x2]]	
73	Farming	CHIRP_POLICY	Farming	0	[[0x2]]	
73	Oil	CHIRP_POLICY	Oil	0	[[0x2]]	
73	Ore	CHIRP_POLICY	Ore	0	[[0x2]]	
73	PowerSaving	CHIRP_POLICY	PowerSaving	0	[[0x2]]	
73	WaterSaving	CHIRP_POLICY	WaterSaving	0	[[0x2]]	
73	SmokeDetectors	CHIRP_POLICY	SmokeDetectors	0	[[0x2]]	
73	RecreationBoost	CHIRP_POLICY	RecreationBoost	0	[[0x2]]	
73	PetBan	CHIRP_POLICY	PetBan	0	[[0x2]]	
73	Recycling	CHIRP_POLICY	Recycling	0	[[0x2]]	
73	SmokingBan	CHIRP_POLICY	SmokingBan	0	[[0x2]]	
73	EducationBoost	CHIRP_POLICY	EducationBoost	0	[[0x2]]	
73	RecreationalUse	CHIRP_POLICY	RecreationalUse	0	[[0x2]]	
73	FreeTransport	CHIRP_POLICY	FreeTransport	0	[[0x2]]	
73	TaxRaiseResLow	CHIRP_POLICY	TaxRaiseResLow	0	[[0x1]]	
73	TaxRaiseResHigh	CHIRP_POLICY	TaxRaiseResHigh	0	[[0x1]]	
73	TaxRaiseComLow	CHIRP_POLICY	TaxRaiseComLow	0	[[0x1]]	
73	TaxRaiseComHigh	CHIRP_POLICY	TaxRaiseComHigh	0	[[0x1]]	
73	TaxRaiseOffice	CHIRP_POLICY	TaxRaiseOffice	0	[[0x1]]	
73	TaxLowerResLow	CHIRP_POLICY	TaxLowerResLow	0	[[0x1]]	
73	TaxLowerResHigh	CHIRP_POLICY	TaxLowerResHigh	0	[[0x1]]	
73	TaxLowerComLow	CHIRP_POLICY	TaxLowerComLow	0	[[0x1]]	
73	TaxLowerComHigh	CHIRP_POLICY	TaxLowerComHigh	0	[[0x1]]	
73	TaxLowerOffice	CHIRP_POLICY	TaxLowerOffice	0	[[0x1]]	
73	SmallBusiness	CHIRP_POLICY	SmallBusiness	0	[[0x2]]	
73	BigBusiness	CHIRP_POLICY	BigBusiness	0	[[0x2]]	
73	IndustrySpace	CHIRP_POLICY	IndustrySpace	0	[[0x2]]	
73	HighTechHousing	CHIRP_POLICY	HighTechHousing	0	[[0x2]]	
73	HighriseBan	CHIRP_POLICY	HighriseBan	0	[[0x2]]	
73	HeavyTrafficBan	CHIRP_POLICY	HeavyTrafficBan	0	[[0x2]]	
73	NoHomo	CHIRP_POLICY	NoHomo	0	[[0x3]]	
73	AllowWeapons	CHIRP_POLICY	AllowWeapons	0	[[0x2]]	
73	AlligatorBan	CHIRP_POLICY	AlligatorBan	0	[[0x3]]	
CHIRP_ORGANIC_FARMING		CHIRP_ORGANIC_FARMING		0	[[0x1]]	
CHIRP_PUBLIC_TRANSPORT_EFFICIENCY		CHIRP_PUBLIC_TRANSPORT_EFFICIENCY		0	[[0x1]]	
CHIRP_DAYCARE_SERVICE		CHIRP_DAYCARE_SERVICE		0	[[0x1]]	
CHIRP_STUDENT_LODGING		CHIRP_STUDENT_LODGING		0	[[0x1]]	
CHIRP_ASSISTIVE_TECHNOLOGIES		CHIRP_ASSISTIVE_TECHNOLOGIES		0	[[0x1]]	
CHIRP_CHEAP_FLOWERS		CHIRP_CHEAP_FLOWERS		0	[[0x1]]	
